
== sample-plan.pdf @ 1/4" (2448x1584 img px, 36 mask px/ft) ==
   566.5 SF    334.9 LF  (bbox 221.3 LF, x1.51)  verts=192  (2025,972)pt  <<< PERIM EXCESS
   559.4 SF    299.3 LF  (bbox 148.1 LF, x2.02)  verts= 74  (1728,648)pt  <<< PERIM EXCESS
   547.8 SF     95.0 LF  (bbox 95.2 LF, x1.00)  verts=  8  (324,1431)pt
   450.9 SF    298.4 LF  (bbox 211.2 LF, x1.41)  verts=192  (1971,594)pt  <<< PERIM EXCESS
   450.9 SF    298.4 LF  (bbox 211.2 LF, x1.41)  verts=192  (1782,864)pt  <<< PERIM EXCESS
   417.7 SF     81.8 LF  (bbox 81.8 LF, x1.00)  verts=  4  (1080,162)pt
   361.7 SF    114.6 LF  (bbox 108.9 LF, x1.05)  verts= 18  (1188,675)pt
   301.6 SF     69.9 LF  (bbox 69.9 LF, x1.00)  verts=  4  (1404,1944)pt
   291.3 SF     91.3 LF  (bbox 70.6 LF, x1.29)  verts= 21  (1728,918)pt
   284.8 SF    126.6 LF  (bbox 110.0 LF, x1.15)  verts= 51  +swing  (2025,243)pt
   271.6 SF     93.2 LF  (bbox 93.2 LF, x1.00)  verts=  4  (2565,135)pt
   250.3 SF     77.1 LF  (bbox 66.3 LF, x1.16)  verts= 18  (1080,378)pt
   250.3 SF     77.1 LF  (bbox 66.3 LF, x1.16)  verts= 18  (1134,432)pt
   247.8 SF     78.9 LF  (bbox 65.4 LF, x1.21)  verts= 30  (1674,459)pt
   246.3 SF     68.2 LF  (bbox 68.3 LF, x1.00)  verts=  6  (2187,1404)pt
   238.5 SF     67.6 LF  (bbox 65.2 LF, x1.04)  verts= 10  (783,729)pt
   238.5 SF     84.1 LF  (bbox 77.5 LF, x1.09)  verts= 17  (1296,378)pt
   238.5 SF     84.1 LF  (bbox 77.5 LF, x1.09)  verts= 17  (1350,486)pt
   229.0 SF     82.2 LF  (bbox 66.3 LF, x1.24)  verts= 22  (1539,918)pt
   229.0 SF     82.2 LF  (bbox 66.3 LF, x1.24)  verts= 22 sealed@1  (1647,945)pt
   224.8 SF    109.0 LF  (bbox 68.1 LF, x1.60)  verts= 34  (1944,1431)pt  <<< PERIM EXCESS
   219.5 SF     72.8 LF  (bbox 66.1 LF, x1.10)  verts= 24  (2106,891)pt
   217.8 SF     71.7 LF  (bbox 61.4 LF, x1.17)  verts= 32  (1080,675)pt
   211.8 SF    139.6 LF  (bbox 114.9 LF, x1.22)  verts= 84  (1404,594)pt
   206.1 SF     63.7 LF  (bbox 59.8 LF, x1.06)  verts= 18  (1323,945)pt
   204.8 SF     83.5 LF  (bbox 61.6 LF, x1.36)  verts= 26  (1917,270)pt  <<< PERIM EXCESS
   204.8 SF     83.5 LF  (bbox 61.6 LF, x1.36)  verts= 26 sealed@1  (1944,270)pt  <<< PERIM EXCESS
   200.9 SF     88.5 LF  (bbox 65.0 LF, x1.36)  verts= 37  (2106,1431)pt  <<< PERIM EXCESS
   197.8 SF     68.2 LF  (bbox 59.6 LF, x1.14)  verts= 20  (1917,1134)pt
   194.4 SF     63.6 LF  (bbox 59.6 LF, x1.07)  verts= 11  (1404,432)pt
   192.7 SF     62.1 LF  (bbox 57.6 LF, x1.08)  verts=  9  (1539,675)pt
   191.0 SF    116.5 LF  (bbox 64.1 LF, x1.82)  verts= 25  (216,1269)pt  <<< PERIM EXCESS
   186.4 SF     96.1 LF  (bbox 96.1 LF, x1.00)  verts=  4  (2538,675)pt
   177.9 SF     64.6 LF  (bbox 56.2 LF, x1.15)  verts= 22  (2079,567)pt
   177.2 SF    103.3 LF  (bbox 103.3 LF, x1.00)  verts=  4  (594,1917)pt
   175.9 SF     90.0 LF  (bbox 82.9 LF, x1.09)  verts= 19  (999,459)pt
   175.9 SF     90.0 LF  (bbox 82.9 LF, x1.09)  verts= 19  (999,648)pt
   175.9 SF     90.0 LF  (bbox 82.9 LF, x1.09)  verts= 19  (1026,648)pt
   175.9 SF     90.0 LF  (bbox 82.9 LF, x1.09)  verts= 19  (1053,648)pt
   175.0 SF     76.4 LF  (bbox 56.2 LF, x1.36)  verts= 38  (2079,270)pt  <<< PERIM EXCESS
   175.0 SF     76.4 LF  (bbox 56.2 LF, x1.36)  verts= 38  (2106,270)pt  <<< PERIM EXCESS
   162.8 SF     71.8 LF  (bbox 63.6 LF, x1.13)  verts= 14  (1782,432)pt
   159.6 SF     72.2 LF  (bbox 55.1 LF, x1.31)  verts= 44  (297,918)pt
   158.8 SF     54.6 LF  (bbox 52.4 LF, x1.04)  verts=  8  (297,270)pt
   158.6 SF     84.1 LF  (bbox 64.3 LF, x1.31)  verts= 36  (324,729)pt
   157.5 SF    113.8 LF  (bbox 56.2 LF, x2.02)  verts= 47  (486,729)pt  <<< PERIM EXCESS
   154.9 SF     66.0 LF  (bbox 55.6 LF, x1.19)  verts= 19  (1647,648)pt
   152.1 SF     54.7 LF  (bbox 53.3 LF, x1.03)  verts= 10  (297,567)pt
   151.7 SF     50.9 LF  (bbox 51.1 LF, x1.00)  verts=  8  (1080,945)pt
   151.7 SF     50.9 LF  (bbox 51.1 LF, x1.00)  verts=  8  (1161,1026)pt
   151.7 SF     50.9 LF  (bbox 51.1 LF, x1.00)  verts=  8  (1161,1053)pt
   150.7 SF     88.9 LF  (bbox 88.9 LF, x1.00)  verts=  4  (1026,1917)pt
   150.6 SF     64.4 LF  (bbox 57.6 LF, x1.12)  verts= 14  (999,162)pt
   144.2 SF     48.4 LF  (bbox 48.6 LF, x1.00)  verts=  8  (891,945)pt
   143.5 SF     87.2 LF  (bbox 64.3 LF, x1.36)  verts= 39  (243,729)pt  <<< PERIM EXCESS
   132.3 SF     49.2 LF  (bbox 49.3 LF, x1.00)  verts=  6  (1188,945)pt
   128.4 SF     51.6 LF  (bbox 49.7 LF, x1.04)  verts= 11  (972,729)pt
   127.8 SF     95.2 LF  (bbox 63.6 LF, x1.50)  verts= 23  (486,162)pt  <<< PERIM EXCESS
   127.8 SF     79.7 LF  (bbox 58.5 LF, x1.36)  verts= 25  +swing  (1269,783)pt  <<< PERIM EXCESS
   127.8 SF     79.7 LF  (bbox 58.5 LF, x1.36)  verts= 25  +swing  (1296,864)pt  <<< PERIM EXCESS
   124.1 SF     62.6 LF  (bbox 55.6 LF, x1.13)  verts= 19  (2079,729)pt
   118.2 SF     59.1 LF  (bbox 53.3 LF, x1.11)  verts= 23  (1188,594)pt
   118.2 SF     59.1 LF  (bbox 53.3 LF, x1.11)  verts= 23  (1080,648)pt
   118.2 SF     59.1 LF  (bbox 53.3 LF, x1.11)  verts= 23  (1107,648)pt
   118.2 SF     59.1 LF  (bbox 53.3 LF, x1.11)  verts= 23  (1134,648)pt
   118.2 SF     59.1 LF  (bbox 53.3 LF, x1.11)  verts= 23  (1161,648)pt
   118.2 SF     59.1 LF  (bbox 53.3 LF, x1.11)  verts= 23  (1188,648)pt
   118.2 SF     59.1 LF  (bbox 53.3 LF, x1.11)  verts= 23  (1215,648)pt
   118.2 SF     59.1 LF  (bbox 53.3 LF, x1.11)  verts= 23  (1242,648)pt
   113.1 SF     43.0 LF  (bbox 43.0 LF, x1.00)  verts=  4  (729,945)pt
   110.4 SF     42.6 LF  (bbox 42.6 LF, x1.00)  verts=  4  (621,945)pt
   108.2 SF     45.7 LF  (bbox 43.2 LF, x1.06)  verts= 11  (540,945)pt
   105.6 SF     41.2 LF  (bbox 41.2 LF, x1.00)  verts=  4  (2484,1998)pt
   105.2 SF     53.3 LF  (bbox 53.3 LF, x1.00)  verts=  4  (2268,2025)pt
   103.7 SF     55.6 LF  (bbox 46.4 LF, x1.20)  verts= 30  (2160,1080)pt
   102.1 SF     41.2 LF  (bbox 41.2 LF, x1.00)  verts=  4  (810,945)pt
   101.9 SF    114.6 LF  (bbox 93.9 LF, x1.22)  verts= 68  (1323,837)pt
   101.9 SF    114.6 LF  (bbox 93.9 LF, x1.22)  verts= 68  (1431,891)pt
   101.9 SF    114.6 LF  (bbox 93.9 LF, x1.22)  verts= 68  (1458,891)pt
   101.9 SF    114.6 LF  (bbox 93.9 LF, x1.22)  verts= 68  (1485,891)pt
   101.9 SF    114.6 LF  (bbox 93.9 LF, x1.22)  verts= 68  (1512,891)pt
   101.9 SF    114.6 LF  (bbox 93.9 LF, x1.22)  verts= 68  (1539,891)pt
   101.9 SF    114.6 LF  (bbox 93.9 LF, x1.22)  verts= 68  (1566,891)pt
   101.9 SF    114.6 LF  (bbox 93.9 LF, x1.22)  verts= 68  (1593,891)pt
    99.7 SF     43.5 LF  (bbox 41.4 LF, x1.05)  verts=  8  (999,945)pt
    99.5 SF     45.5 LF  (bbox 43.2 LF, x1.05)  verts= 12  (1917,999)pt
    99.5 SF     45.5 LF  (bbox 43.2 LF, x1.05)  verts= 12 sealed@1  (1998,1080)pt
    98.1 SF     50.7 LF  (bbox 45.5 LF, x1.11)  verts= 17  (2079,1053)pt
    95.9 SF    107.5 LF  (bbox 66.3 LF, x1.62)  verts= 28  (1944,162)pt  <<< PERIM EXCESS
    92.4 SF    102.0 LF  (bbox 88.3 LF, x1.16)  verts= 60 sealed@1  (1620,891)pt
    85.6 SF     51.5 LF  (bbox 51.5 LF, x1.00)  verts=  4  (2268,1917)pt
    82.7 SF     84.5 LF  (bbox 63.6 LF, x1.33)  verts= 15  (2214,1188)pt
    81.5 SF     50.2 LF  (bbox 40.5 LF, x1.24)  verts= 20  (2079,783)pt
    81.3 SF     65.5 LF  (bbox 52.0 LF, x1.26)  verts= 27  (1296,621)pt
    80.2 SF     40.0 LF  (bbox 38.1 LF, x1.05)  verts= 10  (297,432)pt
    79.0 SF     44.3 LF  (bbox 36.7 LF, x1.21)  verts= 12  (1080,540)pt
    78.0 SF     42.2 LF  (bbox 41.2 LF, x1.02)  verts= 10  (216,1188)pt
    77.4 SF     37.8 LF  (bbox 37.9 LF, x1.00)  verts=  6  (648,729)pt
    74.8 SF     64.1 LF  (bbox 43.0 LF, x1.49)  verts= 25  (1188,486)pt  <<< PERIM EXCESS
    74.8 SF     64.1 LF  (bbox 43.0 LF, x1.49)  verts= 25 sealed@1  (1188,567)pt  <<< PERIM EXCESS
    74.3 SF     39.3 LF  (bbox 37.2 LF, x1.06)  verts=  8  (702,729)pt
    73.0 SF     34.9 LF  (bbox 34.5 LF, x1.01)  verts=  9  (999,378)pt
    72.6 SF     92.4 LF  (bbox 70.3 LF, x1.31)  verts= 77  (1485,837)pt
    72.6 SF     92.4 LF  (bbox 70.3 LF, x1.31)  verts= 77  (1512,864)pt
    71.6 SF     46.1 LF  (bbox 46.1 LF, x1.00)  verts=  4  (1404,1917)pt
